"","Player","Player_Name_Compact","Team","City","Game_Started","Games_Played","Minutes","Points","Two_Point_Made","Two_Point_Attempted","Two_Point_Percentage","Three_Point_Made","Three_Point_Attempted","Three_Point_Percentage","Free_Throws_Made","Free_Throws_Attempted","Free_Throws_Percentage","Defensive_Rebounds","Offensive_Rebounds","Total_Rebounds","Turnovers","Steals","Blocks_against","Blocks","Assists","Personal_Fouls","Personal_Fouls_Drawn","Efficiency"
"3","Aceti Oscar","Aceti O.","NERVIANESE 1919","NERVIANO","20","18","147","47","19","36","53","0","2","0","9","12","75","27","8","35","9","1","4","1","3","27","16","41"
"4","Airoldi Filippo","Airoldi F.","SOCIAL O.S.A.","OSA MILANO","2","1","8","2","1","1","100","","","","","","","","","","","","","","2","1","","3"
"5","Albiero Giovanni Alberto","Albiero G.","MILANOTRE BASKET","MILANOTRE","13","3","10","2","1","2","50","0","1","0","","","","1","","1","","1","","","","","","2"
"6","Albique Luca","Albique L.","AURORA DESIO 94","DESIO","19","19","321","106","39","64","61","0","3","0","28","40","70","71","21","92","19","13","1","6","17","64","52","162"
"7","Alessi Gabriele","Alessi G.","COPERT. ALLUMINIO BAJ ARCISATE","ARCISATE","2","0","","0","","","","","","","","","","","","","","","","","","","",""
"8","Alessio Lorenzo","Alessio L.","7 LAGHI GAZZADA","GAZZADA","15","4","7","0","","","","","","","","","","","","","1","","","","","","","-1"
"9","Aliprandi Andrea","Aliprandi A.","PALL. LISSONE","LISSONE","20","20","463","232","75","135","56","16","31","52","34","46","74","66","37","103","27","11","5","4","19","58","46","238"
"10","Allevi Alessandro","Allevi A.","CARPE DIEM BASKET","CALOLZIOCORTE","14","14","180","45","15","42","36","3","11","27","6","8","75","19","9","28","8","4","","","10","22","8","28"
"11","Amo Felix","Amo F.","PALL. GARDONESE","GARDONESE","8","5","14","2","1","1","100","","","","","","","","","","","","","","","","","2"
"12","Andreotti Roberto","Andreotti R.","FORTITUDO BUSNAGO","BUSNAGO","6","3","13","0","0","2","0","0","1","0","","","","3","1","4","","1","","1","","2","1","2"
"13","Angiolini Alberto","Angiolini A.","LEGNANO KNIGHTS","LEGNANO","20","17","201","37","9","31","29","4","18","22","7","10","70","26","4","30","21","5","3","","35","14","11","41"
"14","Anzivino Roberto","Anzivino R.","VIRTUS PALL. CERMENATE","CERMENATE","18","18","492","104","26","58","45","10","34","29","22","35","63","92","13","105","14","18","1","1","33","21","38","194"
