"","Player_Name_Compact","Team","City","Game_Started","Games_Played","Minutes","Points","Two_Point_Made","Two_Point_Attempted","Two_Point_Percentage","Three_Point_Made","Three_Point_Attempted","Three_Point_Percentage","Free_Throws_Made","Free_Throws_Attempted","Free_Throws_Percentage","Defensive_Rebounds","Offensive_Rebounds","Total_Rebounds","Turnovers","Steals","Blocks_against","Blocks","Assists","Personal_Fouls","Personal_Fouls_Drawn","Efficiency"
"3","Accini D.","GARDONESE","GVT","28","28","853","404","52","123","42","77","212","36","69","80","86","117","12","129","62","32","3","3","90","70","72","378"
"4","Acerbis M.","MANERBIO","MAN","16","3","16","4","2","2","100","0","3","0","","","","1","","1","","","","","","2","",""
"5","Aceti O.","R. SARONNO","SAR","3","1","1","2","1","1","100","","","","","","","","","","","","","","","","","2"
"6","Agazzi A.","MANERBIO","MAN","30","20","161","25","5","16","31","4","17","24","3","8","38","12","8","20","1","8","","2","5","13","6","23"
"7","Albani A.","ROMANO LOM.","ROL","10","10","94","33","11","24","46","2","5","40","5","6","83","7","8","15","4","5","2","","6","20","7","23"
"8","Albenga A.","OLGINATE","OLG","37","18","87","10","3","4","75","1","8","12","1","2","50","5","5","10","3","2","","1","2","10","2","5"
"9","Allegri A.","GARBAGNATE","GAR","28","27","924","551","183","330","55","10","41","24","155","226","69","135","95","230","42","28","6","5","48","60","194","699"
"10","Angiolini A.","B. 7 LAGHI","GAZ","28","28","829","225","35","91","38","36","129","28","47","72","65","71","9","80","102","28","4","","119","63","65","174"
"11","Antelli L.","CERNUSCO (*)","CEN (*)","30","28","468","147","28","66","42","23","65","35","22","42","52","50","17","67","33","24","6","","46","52","61","154"
"12","Antonietti F.","COR. PIADENA","PIA","29","29","792","351","117","239","49","5","29","17","102","131","78","95","57","152","54","30","7","14","38","86","98","361"
"13","Anzivino R.","CERMENATE (*)","CER (*)","26","26","777","191","53","97","55","17","58","29","34","59","58","115","37","152","45","29","7","1","59","33","66","303"
"14","Appendini S.","VIGEVANO","VIG","29","29","617","115","30","73","41","11","39","28","22","32","69","108","29","137","43","17","1","9","40","68","33","158"
"15","Aradori D.","CREMONA","CRE","13","3","2","1","","","","","","","1","2","50","","","","","","","","","","1","1"
"16","Ariazzi M.","COR. PIADENA","PIA","29","29","443","124","13","23","57","25","73","34","23","31","74","18","2","20","24","6","3","","20","49","36","64"
"17","Arioli F.","MILANO3 B.","MI3","28","28","684","254","42","94","45","49","149","33","23","28","82","94","14","108","40","10","2","3","43","68","29","180"
"18","Aromando S.","BERNAREGGIO","BER","30","27","530","187","74","154","48","3","8","38","30","63","48","82","46","128","46","12","3","10","18","50","56","194"
"19","Arosio D.","LISSONE (*)","LIS (*)","30","25","236","31","14","37","38","0","3","0","3","9","33","27","10","37","20","4","1","4","4","34","12","5"
"20","Arui A.","GARBAGNATE","GAR","28","26","754","284","54","150","36","41","166","25","53","78","68","92","27","119","70","33","9","2","95","78","82","212"
"21","Asamoah B.","V. LUMEZZANE","LUM","28","28","571","197","38","77","49","31","84","37","28","40","70","33","21","54","52","16","5","1","27","75","45","104"
"22","Assoni A.","COR. PIADENA","PIA","29","29","399","77","29","74","39","2","15","13","13","26","50","58","15","73","31","6","4","2","13","56","22","31"
"23","Assui K.","ARCISATE (*)","ARC (*)","29","28","573","91","23","40","57","11","37","30","12","20","60","94","33","127","52","24","2","22","18","70","22","129"
"24","Atienza B.","MANERBIO","MAN","29","29","368","58","14","35","40","8","25","32","6","11","55","15","7","22","35","18","2","1","22","51","14","4"
"25","Balatti D.","LIERNA","LIE","11","2","7","0","","","","0","2","0","","","","2","","2","2","1","","","","1","","-2"
"26","Baldini G.","BERNAREGGIO","BER","34","33","838","376","101","202","50","27","117","23","93","113","82","109","28","137","59","37","11","2","35","72","106","340"
"27","Baldrighi D.","PIZZIGHETTONE","PIZ","9","5","9","6","2","3","67","","","","2","4","50","2","2","4","","2","","","","","2","11"
"28","Ballarate M.","CERMENATE (*)","CER (*)","11","11","266","90","14","40","35","17","60","28","11","18","61","26","14","40","17","9","1","","16","23","18","56"
"29","Ballarate M.","LIERNA","LIE","16","16","461","180","31","83","37","28","88","32","34","42","81","38","39","77","37","8","2","2","25","48","44","129"
"30","Balogun M.","GARDONESE","GVT","26","26","555","145","38","90","42","13","50","26","30","55","55","61","14","75","31","30","5","5","46","54","39","136"
"31","Bandera G.","NERVIANESE","NER","27","27","531","144","35","100","35","18","62","29","20","30","67","51","14","65","19","12","1","3","13","38","29","89"
"32","Barbero D.","PAVIA B.","PVB","11","3","5","0","0","1","0","","","","","","","","","","","","1","","","1","","-3"
"33","Barga J.","AGRATE CAN.","AGR","13","13","236","89","20","30","67","10","27","37","19","29","66","26","13","39","23","17","","1","13","28","26","97"
"34","Bassani A.","OLGINATE","OLG","34","34","869","482","181","371","49","9","34","26","93","140","66","261","102","363","67","20","19","7","30","60","116","610"
"35","Battistini T.","ARCISATE (*)","ARC (*)","30","30","614","108","11","38","29","27","135","20","5","6","83","69","16","85","39","15","","","28","55","26","32"
"36","Bazzoli R.","P. MILANO","MIP","26","25","819","517","110","267","41","57","191","30","126","161","78","91","28","119","50","13","3","10","44","31","138","431"
"37","Beccagutti D.","GARDONESE","GVT","18","2","4","1","","","","","","","1","2","50","","","","","","","","","","1","1"
"38","Bega S.","P. MILANO","MIP","1","0","","0","","","","","","","","","","","","","","","","","","","",""
